CellId	Length	Radius	Curvature	Torsion	Tortuosity	StartPointPosition	EndPointPosition
0	24.3353	1.64625	1.41917	-7.17864	0.0749857	-102.013 138.869 1902.66	-84.6946 142.566 1916.76
1	17.3342	2.96261	0.0534359	0.124882	0.0244134	-84.6946 142.566 1916.76	-75.4402 141.811 1930.91
2	16.5754	2.47871	0.0588219	0.0442076	0.0152872	-84.6946 142.566 1916.76	-80.7942 142.949 1900.91
3	27.1886	2.38511	0.0739182	-0.188851	0.052499	-75.4402 141.811 1930.91	-69.9015 131.175 1908.03
4	22.6855	5.31698	0.0301392	-0.0555749	0.020905	-69.6279 154.08 1954.81	-56.6071 149.05 1972.1
5	11.831	5.3517	0.0280354	0	0.00501316	-69.6279 154.08 1954.81	-78.2023 159.438 1948.78
6	13.0516	4.77343	0.0337187	0.0669603	0.0181533	-56.6071 149.05 1972.1	-63.9151 138.581 1973.25
7	18.5901	7.0778	0.0435344	0.0594701	0.0267946	-56.6071 149.05 1972.1	-46.4233 156.092 1985.31
8	21.3972	2.98166	0.105524	-0.702435	0.137834	-78.2023 159.438 1948.78	-91.5487 158.488 1935.57
9	13.808	2.90585	0.0747568	-0.0726656	0.148201	-78.2023 159.438 1948.78	-78.5896 165.876 1938.63
10	13.6657	3.11243	0.128004	-0.0421529	0.132999	-78.2023 159.438 1948.78	-88.9591 160.745 1954.08
11	5.78177	4.40879	0.0789625	0	0.0445326	-63.9151 138.581 1973.25	-66.8429 137.238 1977.75
12	11.1712	2.99947	0.0598525	0.0104055	0.022943	-63.9151 138.581 1973.25	-62.4816 134.43 1963.25
13	59.735	8.41731	0.0214767	0.131549	0.0389179	-46.4233 156.092 1985.31	1.45978 154.853 2017.11
14	21.7364	6.66777	0.0321975	-0.0266751	0.0126721	-46.4233 156.092 1985.31	-65.1965 165.637 1989.45
15	11.4229	2.90971	0.0937826	0	0.0985716	-78.5896 165.876 1938.63	-86.4491 170.175 1933.35
16	14.318	2.3436	0.0461378	-0.0591313	0.0265876	-78.5896 165.876 1938.63	-75.524 167.206 1925.09
17	10.7995	2.57033	0.108939	-0.027125	0.0736059	-66.8429 137.238 1977.75	-76.1014 133.944 1975.6
18	6.23012	2.67208	0.0746344	0	0.0478215	-66.8429 137.238 1977.75	-64.8565 134.124 1982.41
19	33.7247	9.71298	0.0146195	-0.0223014	0.0077515	1.45978 154.853 2017.11	26.2652 153.513 1994.69
20	105.592	10.8009	0.00986212	0.0101232	0.0168395	1.45978 154.853 2017.11	0.167163 180.405 2117.76
21	17.5893	4.59378	0.0259175	-0.0924707	0.0422924	-65.1965 165.637 1989.45	-62.9883 160.387 2005.34
22	37.9016	3.40265	0.0433979	0.124615	0.0606066	-65.1965 165.637 1989.45	-81.1107 179.502 1960.62
23	12.2738	4.92366	0.0455619	0	0.00799239	-65.1965 165.637 1989.45	-73.0932 174.588 1991.86
24	16.1019	6.9985	0.0236123	0	0.0267026	26.2652 153.513 1994.69	37.6695 154.885 2005.37
25	26.7727	8.11679	0.0295997	0	0.100504	26.2652 153.513 1994.69	32.2017 156.968 1971.35
26	26.5986	2.62932	0.094473	-0.294562	0.111067	-62.9883 160.387 2005.34	-65.3262 147.811 2025.57
27	17.0043	2.77379	0.0980396	0.0795106	0.135593	-62.9883 160.387 2005.34	-59.7532 167.438 2018.15
28	11.5844	3.77615	0.0619824	0	0.0890252	-73.0932 174.588 1991.86	-71.4553 185.009 1990.49
29	7.44902	3.59362	0.0645512	0	0.0417338	-73.0932 174.588 1991.86	-78.8637 171.323 1994.54
30	19.3798	4.24586	0.0434831	-0.00216952	0.0197822	37.6695 154.885 2005.37	45.8304 171.591 2001.44
31	14.9965	3.94896	0.0392506	0.082165	0.042651	37.6695 154.885 2005.37	41.9059 153.717 2019.06
32	14.1825	4.04215	0.0428917	0.33638	0.0370009	37.6695 154.885 2005.37	49.636 148.272 2005.71
33	11.0222	7.26485	0.00947638	0	0.00236588	32.2017 156.968 1971.35	37.5484 150.957 1963.86
34	19.0474	2.01546	0.110917	0.0714826	0.0370223	-71.4553 185.009 1990.49	-63.0019 201.31 1990.95
35	9.73187	2.53413	0.0657181	-0.037913	0.0437027	-71.4553 185.009 1990.49	-78.5891 191.012 1990.32
36	9.36334	2.18199	0.113686	0.368679	0.0419903	-78.8637 171.323 1994.54	-85.2927 177.569 1995.17
37	5.82106	1.83521	0.0943408	0	0.0455655	-78.8637 171.323 1994.54	-81.9393 166.96 1996.12
38	16.3256	3.07522	0.054186	0.596912	0.0182455	45.8304 171.591 2001.44	60.8994 177.067 2001.47
39	11.8071	2.65189	0.0719105	-0.456082	0.0571322	41.9059 153.717 2019.06	42.2499 158.647 2029.08
40	8.12273	2.40601	0.128399	0	0.145045	41.9059 153.717 2019.06	46.0356 150.476 2023.83
41	9.27976	2.78827	0.0504054	0.0689133	0.0244792	49.636 148.272 2005.71	54.4056 140.858 2007.79
42	11.5926	2.82537	0.0576729	-0.0586831	0.0111391	49.636 148.272 2005.71	60.7902 150.922 2005.68
43	11.7961	4.30625	0.038384	0	0.0329529	37.5484 150.957 1963.86	41.2905 141.276 1968.62
44	12.809	6.57712	0.0405365	0	0.0250409	37.5484 150.957 1963.86	40.8169 153.539 1952.07
45	6.01125	1.989	0.137186	0	0.137051	60.7902 150.922 2005.68	65.2181 152.301 2003.14
46	10.9032	2.23063	0.112268	-0.343639	0.0447288	60.7902 150.922 2005.68	69.6888 151.645 2011.08
47	21.0832	2.99891	0.08454	-0.0922851	0.074516	41.2905 141.276 1968.62	57.1569 130.024 1966.04
48	9.76249	2.66738	0.150631	0	0.281229	41.2905 141.276 1968.62	38.8164 134.275 1966.91
49	16.2006	5.6083	0.0627013	0	0.0525753	40.8169 153.539 1952.07	52.9918 150.264 1943.25
50	13.7047	3.77868	0.0688502	0	0.161185	40.8169 153.539 1952.07	38.8443 159.303 1941.97
51	11.6982	3.56865	0.0736049	-0.00360257	0.0741098	46.0035 175.811 1961.22	56.5675 178.282 1960.27
52	10.2085	2.65311	0.157147	0	0.153005	46.0035 175.811 1961.22	44.4451 181.189 1954.36
53	9.73159	5.63515	0.0229851	0	0.0113772	52.9918 150.264 1943.25	54.9233 143.993 1936.21
54	14.3808	2.55761	0.0378411	0.225563	0.0168714	38.8443 159.303 1941.97	38.0416 157.592 1927.95
55	6.41604	2.59289	0.0557237	0	0.0316867	38.8443 159.303 1941.97	42.2374 163.889 1939.49
56	11.6024	3.7539	0.0487001	0.279701	0.0758709	54.9233 143.993 1936.21	65.1704 140.903 1934.89
57	21.2754	3.70873	0.0604891	-0.113455	0.0828675	54.9233 143.993 1936.21	53.0999 136.153 1918.29
58	6.21033	2.35068	0.0621528	0	0.0252933	38.0416 157.592 1927.95	33.5227 157.311 1923.93
59	17.3745	2.16843	0.0537483	0.038526	0.0173963	38.0416 157.592 1927.95	48.3029 158.242 1914.32
60	16.7949	2.43944	0.117431	0.0129096	0.0502991	65.1704 140.903 1934.89	74.41 127.853 1935.07
61	12.8245	2.23743	0.109097	0.0268613	0.080194	65.1704 140.903 1934.89	73.3675 141.677 1926.34
62	21.1467	2.1061	0.0696273	0.0262547	0.0509965	53.0999 136.153 1918.29	44.6673 131.047 1900.75
63	17.8406	2.52624	0.0536087	-0.609674	0.03257	53.0999 136.153 1918.29	65.4419 133.914 1906.4
64	6.98068	1.62478	0.0970624	-0.183683	0.034029	65.4419 133.914 1906.4	63.9216 133.237 1899.86
65	9.48387	1.88567	0.119262	-0.0440561	0.120155	65.4419 133.914 1906.4	72.8369 134.031 1902.28
66	27.9629	4.96308	0.0305534	0.0570444	0.0173317	-75.4402 141.811 1930.91	-69.6279 154.08 1954.81
67	26.3408	5.46801	0.0240066	0.0142229	0.0345898	32.2017 156.968 1971.35	46.0035 175.811 1961.22
68	34.7836	2.829	0.0911287	-0.546913	0.0359172	45.8304 171.591 2001.44	35.4657 202.991 1995.6
69	42.8556	2.83013	0.0970959	-0.049266	0.0941435	52.9918 150.264 1943.25	84.1335 159.14 1921.21